Date,AIRR,BLCN,BLOK,CALF,COWZ,DWAS,FTXL,IAK,IHF,ITB,KBWP,KIE,NFTY,OMFS,PAVE,PSCD,RWJ,RZV,SOXX,XHB,XMHQ,XMMO,XSD,XSMO,XTL
2019-07-01,26.37,22.59,15.69,22.82,26.51,53.28,33.73,65.19,34.07,37.74,64.45,31.47,31.34,25.17,15.71,56.5,19.86,59.7,66.45,39.85,46.28,56.93,90.17,36.82,67.8
2019-08-01,24.93,21.84,15.04,21.87,25.01,51.73,32.04,62.45,32.28,39.54,63.26,30.59,29.51,23.9,14.91,54.31,18.48,55.12,64.92,40.23,44.53,55.96,86.61,35.97,63.71
2019-09-01,26.64,22.14,14.98,23.61,26.06,48.53,33.57,65.27,31.04,42.01,66.22,32.01,31.45,25.15,15.67,56.94,20.07,60.76,67.04,42.17,45.16,55.92,88.33,35.67,63.96
2019-10-01,27.69,22.97,15.12,24.25,26.67,49.9,35.95,63.16,33.97,43.37,62.44,31.39,32.39,25.44,16.07,57.45,20.36,62.12,71.46,43.67,46.07,56.94,92.45,36.51,64.62
2019-11-01,28.51,23.89,15.69,25.29,27.98,52.8,37.11,65,37.51,44.22,63.9,32.39,32.03,26.27,16.87,59.26,21.01,64.16,74.36,44.05,47.76,58.05,96.32,37.5,65.97
2019-12-01,28.77,24.6,15.66,25.96,28.12,55.37,40,64.95,38.65,43.14,64.1,32.33,32.28,27.2,17.26,60.38,21.52,66.41,79.98,43.65,48.82,58.86,104.27,37.81,66.78
2020-01-01,27.79,24.76,16.09,24.38,26.81,53.87,38.91,65.38,37.08,46.19,64.99,32.51,31.15,25.15,16.59,58.68,19.87,56.86,77.69,45.17,48.03,60.37,100.68,38.11,65.58
2020-02-01,25.29,23.22,15.23,21.66,24.68,50.76,35.97,58.24,34.62,42.21,57.82,29.11,28.38,22.58,15.14,51.69,17.78,48.77,74.09,41.01,43.4,55.05,94.11,34.94,62.9
2020-03-01,19.86,20.61,13.1,16.79,20.12,39.55,32.12,45.33,32.16,28.13,47.98,22.86,20.81,18.09,11.97,33.93,13.33,33.03,65.59,28.64,37.66,47.4,82.81,28.19,56.61
2020-04-01,21.93,23.47,15.33,20.08,23.29,44.89,37.24,48.07,36.73,35.61,48.1,24.09,23.81,20.3,13.41,44.02,15.77,41.29,75.39,34.81,43.36,52.46,98.31,31.45,64.12
2020-05-01,23.1,25.57,16.38,21.03,24.34,49.79,40.42,49.77,38.68,42.17,49.58,25,24.07,21.39,14.29,49.4,17.13,42.7,80.78,40.7,47.32,57.89,105.94,33.74,66.75
2020-06-01,24.07,27.36,17.19,22.69,24.77,52.01,42.78,50.86,37.31,43.05,51.11,25.27,25.87,21.59,14.84,52.86,17.52,45.1,86.88,42.38,48.39,57.51,110.52,35.02,66.92
2020-07-01,24.58,31.96,19.62,23.69,25.68,55.35,46.09,53.23,39.53,50.44,53.61,26.44,27.66,21.69,15.33,57.29,18.79,46.44,93.34,48.01,50.53,62.42,120.46,38.35,72.76
2020-08-01,26.88,34.63,21.67,25.21,26.91,57.83,46.86,54.41,39.88,53.28,55.07,27.32,29.42,23.64,16.63,62.26,20.31,51.3,98.75,51.05,52.48,64.86,125.29,39.43,71.58
2020-09-01,25.55,33.14,20.88,24.47,26.16,57.8,46.56,51.74,39.05,55.31,51.68,26.02,28.66,22.5,16.43,60.31,19.13,48.52,97.91,52.15,50.22,64.32,124.35,38.88,64.94
2020-10-01,26.39,32.12,21.2,24.36,25.75,57.68,47.22,52.87,38.95,50.83,52.91,26.5,29.96,23.38,16.99,62.24,19.64,49.71,98.55,50.39,51.46,65.39,131.15,38.59,65.59
2020-11-01,31.18,37.39,25.8,28.58,30.09,68.25,55.77,59.98,43.72,54.65,59.41,30.3,32.74,29.01,19.76,73.76,24.42,61.23,116.72,55.48,58,70.65,155.75,43.7,75.9
2020-12-01,33.75,39.53,29.8,30.19,31.37,73.33,58.5,63.07,45.52,54.53,62.78,31.32,35.51,31.29,20.67,78.16,26.03,63.8,122.32,55.88,61.59,76.01,169.01,46.13,81.72
2021-01-01,34.44,39.67,33.36,33.25,32.75,78.42,59.94,61.29,46.6,57.71,60.35,30.21,35.53,34.25,20.32,99,32.68,67.55,126.53,58.58,63.16,78.72,177.83,48.47,89.14
2021-02-01,38.2,45.05,43.97,36.66,33.95,83.7,64.15,66.59,45.58,58.84,65.22,32.82,38.18,36.43,22.35,98.13,32.7,77.82,134.77,60.27,67.04,79.85,184.57,50.29,89.44
2021-03-01,40.38,46.78,48.5,39.81,38.31,82.86,63.33,69.71,48.9,66.41,69.42,34.38,39.24,37.54,24.49,107.83,36.63,84.95,137.06,68.36,70.28,81.43,180.99,50.61,90.8
2021-04-01,41.33,47.16,45.95,40.59,39.66,82.95,62.05,74.85,51.12,71.74,73.22,37,39.3,38.17,25.23,111.17,37.24,85.47,136.68,73.32,72.16,83.2,175.16,49.79,92.59
2021-05-01,41.55,46.15,39.8,42.29,40.69,84.84,63.04,76.92,52.8,70.46,73.76,37.5,42.25,38.92,25.88,114.36,39.09,91.96,140.13,72.95,72.52,80.67,177.09,51.37,96.76
2021-06-01,40.79,46.24,41.4,43.32,40.41,87.48,67.09,73.24,51.84,67.82,71,36.32,41.65,39.66,25.16,112.76,38.8,91.4,147.1,71.27,71.53,83.25,190.56,53.25,99.14
2021-07-01,41.13,44.64,38.87,41.9,41.45,82.51,66.32,73.44,52.29,70.18,71.99,36.1,42.24,37.78,25.92,108.6,37.33,87.2,148.15,73.46,71.96,83.43,189.2,51.39,97.03
2021-08-01,42.41,46.75,42.99,42.68,42.66,84.84,67.64,77.61,52.29,71.73,75.51,37.56,45.2,38.67,26.64,109.86,38.18,90.38,151.81,76.1,73.55,85.02,200.7,52.39,98.36
2021-09-01,40.81,43.58,38.77,41.24,41.39,85.62,66.51,74.27,49.79,64.91,71.22,35.81,45.7,37.89,24.87,103.63,37.69,89.62,144.57,69.92,70.43,81.83,196.13,51.86,92.61
2021-10-01,43.67,48.77,48.18,41.8,42.84,91.68,68.55,79.84,54.39,70.66,74.85,38.42,45.21,39.99,27.05,105.97,38.76,93.23,154.27,75.68,73.85,88.41,219.3,54.75,93.72
2021-11-01,43.72,45.65,48,41.8,42.35,86.85,75.98,75.18,50.8,74.22,70.68,36.39,43.91,39.27,26.63,105.86,38.12,90.49,172.02,78.36,71.76,86.69,236.07,54.39,93.37
2021-12-01,44.9,41.53,34.89,41.66,44.79,87.76,79.58,79.87,56.66,81.43,75.25,38.45,44.57,40.28,28.18,107.14,39.7,92.78,176.28,83.68,74.4,88.44,240.95,54.96,99.44
2022-01-01,40.7,37.39,32.56,39.45,44.84,77.56,68.64,81.99,52.36,69.4,76.78,38.3,45.82,37.11,25.84,96.9,37.67,90.29,156.14,72.74,70.25,80.68,202.77,49.47,89.5
2022-02-01,41.51,36.6,33.07,40.23,45.66,80.51,69.04,82.68,53.47,65.64,77.79,38.26,43.93,37.29,26.29,95.09,38.62,91.33,154.41,68.45,70.71,83.65,204.79,50.12,88.02
2022-03-01,42.16,36.24,33.81,39.06,47.34,82.61,69.16,87.73,55.29,58.24,83.11,40.26,43.13,37.27,27.77,89.53,38.75,93.53,154.13,61.75,70.21,84.19,205.66,50.63,90.85
2022-04-01,38.16,31.28,26.45,37.04,45.78,77.29,59.66,82.52,52.02,56.89,78.58,37.45,44.43,34.99,25.81,85.36,36.61,88.81,130.76,60.02,65.45,80.18,170.55,46.88,80.43
2022-05-01,40.14,29.59,22.81,37.31,47.98,78.43,62.28,85.42,51.59,59.46,81.63,38.52,42.32,35.68,25.37,82.75,37.27,91.16,139.04,61.12,65.84,79.31,181.2,48.16,82.48
2022-06-01,36.98,24.81,17.93,32.81,41.08,66.32,52.24,80.08,49.99,51.72,77.81,36.39,39.87,32.06,22.36,72.44,32.96,80.55,114.07,53.58,59.31,69.56,150.47,42.85,76.37
2022-07-01,43.2,27.39,21.75,37.12,44.44,73.97,60.47,79.64,54.17,60.28,73.6,36.79,43.86,35,25.91,81.59,36.68,87.63,133.1,62.84,66.22,78.59,181.19,49.03,85.81
2022-08-01,41.81,26.23,20.6,35.86,43.27,74.64,54.47,80.62,52.47,55.3,73.87,36.8,43.98,33.43,25.2,78.59,35.6,84.48,120.8,58.71,63.53,76.08,169.9,46.76,85.11
2022-09-01,38.08,21.86,18.3,31.76,39.32,67.02,48.03,76.57,50.04,51.36,71.03,34.94,41.43,30.54,22.73,69.66,31.2,74.26,104.15,53.7,58.39,68.47,151.13,42.48,75.64
2022-10-01,44.76,22.08,18.8,36.72,44.75,76.1,49.15,88.56,54.33,55.7,81.92,40.15,43.29,34.4,25.52,78.09,35.86,87.79,107.26,57.43,65.66,77.14,156.03,48.75,86.71
2022-11-01,46.63,23.11,16.73,38.59,47.64,76.45,57.5,91.88,54.83,60.25,86.15,41.37,45.59,35.76,27.54,82.82,37.88,92.47,127.48,61.31,69.86,79.65,184.86,50.61,86.32
2022-12-01,43.93,20.02,14.95,35.21,44.57,71.44,52.5,89,52.56,59.98,83.41,39.74,42.46,33.24,26.11,76.98,35.3,86.38,114.33,59.38,64.99,74.23,166.32,46.35,80.52
2023-01-01,48.78,22.47,18.68,39.04,48.27,75.93,59.59,92.84,52.91,68.99,87.2,42.46,43.84,36.78,28.67,91.13,39.64,99.83,133,68.58,71.16,78.23,195.28,48.64,85.61
2023-02-01,49.61,20.89,18.03,38.67,46.24,75.78,60.06,91.91,50.6,67.1,88.27,42.31,41.5,36.24,28.92,89.92,39.23,98.29,135.02,66.68,69.97,76.86,197.48,48.54,80.43
2023-03-01,47.86,21.18,19.14,37.4,45.55,72.47,64.22,83.82,48.92,69.7,81.13,38.46,41.82,34.33,28.09,86.9,36.6,88.96,146.5,66.91,69.41,74.69,207.73,45.69,79.99
2023-04-01,46,20.89,19.67,36.5,45.57,70.79,59.6,86.64,50.95,75.31,82.61,39.65,44.53,33.64,27.34,87.1,35.85,86.95,136.13,70.23,70.06,74.54,177.69,44.38,74.26
2023-05-01,47.56,20.45,19.93,36.08,43.25,71.38,65.57,81.01,48.51,72.7,77.26,37.4,45.1,33.1,27.03,81.5,34.47,83.2,157.45,68.22,68.9,72.24,203.1,43.95,72.15
2023-06-01,53.92,21.32,22.5,40.13,46.66,77.5,70.64,86.33,50.72,84.9,80.22,40.09,47.69,35.52,31.14,90.3,37.18,92.1,167.54,79.52,76.56,79.02,220.59,48.04,76.75
2023-07-01,54.36,23.36,25.78,43.42,50.03,82.17,74.89,89.52,52.1,88.32,82.85,41.81,48.72,37.62,32.17,94.81,39.86,98.46,177.04,83.88,79.58,82.48,228.44,50.71,72.89
2023-08-01,54.7,20.54,21.74,42.26,49.84,79.26,72.08,89.73,49.17,85.8,81.47,41.87,46.99,35.7,32.06,90.93,38.24,95.26,168.9,82.46,80.06,82.07,212.6,50.35,77.16
2023-09-01,51.43,18.85,19.71,41.24,48.38,74.12,67.21,90.28,48.82,78.09,82.76,41.87,48.52,33.39,30.18,83.87,35.92,90.03,156.65,76,76.53,80.13,195.53,48.24,70.32
2023-10-01,47.71,18.53,20.38,39.35,47.01,68.8,62.43,93.16,49.41,73.29,86.59,42.19,47.16,31.87,28.61,79.46,33.74,84.09,146.84,71.26,72.86,76,169.5,45.68,65.67
2023-11-01,51.16,21.09,23.79,42.9,49.41,75.01,72.34,98.57,50.75,86.63,90.5,44.73,50.66,34.37,31.28,89.27,36.41,92.83,170.49,82.54,78.8,82.56,199.01,50.42,69.95
2023-12-01,57.76,24.27,29.52,47.68,51.19,82.81,81.19,99.14,52.28,101.41,89.39,44.67,53.93,38.35,34.23,102.66,41,106.34,191.22,95.18,84.44,89.55,224.39,56.46,79.52
2024-01-01,55.99,22.84,26.9,46.91,51.21,82.91,80.38,106.36,51.83,99.76,97.53,47.15,55.01,36.06,34.25,98.61,39.51,100.78,194.9,93.52,87.08,93.1,210.43,55.47,76.45
2024-02-01,63.61,25.99,33.55,48.24,53.43,89.99,87.58,110.84,52.84,107.66,101.34,49.37,56.12,36.36,37.64,106.14,41.31,103.91,216.87,102.76,97.51,106.59,223.43,58.22,74.96
2024-03-01,67.29,28.05,36.44,48.96,57.54,90.77,90.35,116.74,54.41,115.52,106.94,51.69,56.82,37.42,39.72,108.34,42.53,106.86,225.4,111.25,104.94,114.7,231.89,60.2,73.9
2024-04-01,63.72,24.52,30.87,45.75,54.54,83.69,86.4,111.42,51.81,103.76,102.32,48.41,56.53,35.19,37.41,100.48,39.63,99,213.72,102.46,98.19,108.73,224.38,57.6,67.92
2024-05-01,72.68,25.39,33.1,46.52,55.88,88.19,93.89,116.64,52.64,106.07,106.38,50.98,57.15,37.07,38.62,105.58,41.73,104.85,233.71,105.15,101.39,114.55,245.7,61.66,76.25
2024-06-01,68.28,25.99,35.47,43.46,54.19,84.96,99.73,112.7,52.39,100.97,102.14,49.65,60.22,36.15,36.94,100.42,39.94,98.92,246.32,100.94,92.71,113.94,247.35,59.99,76.99