DATE,CA-SF,CA-LA,NY-NYC,IL-CHI,TX-DAL,FL-MIA,MI-DET,IL-Champaign
2019-07-01,266.2190396,283.9151627,200.2811892,144.4572655,192.55559,244.1248777,127.3221438,106
2019-08-01,267.0049583,284.8858479,200.9144426,144.6456212,192.66199,244.9573166,127.4224368,104
2019-09-01,267.0269585,286.9422342,201.5061928,144.0119846,193.06343,245.7372824,127.8568182,103
2019-10-01,267.711811,288.8575719,202.2467714,144.1215677,192.92037,246.5001698,127.9171026,103
2019-11-01,269.3015498,290.7703459,202.4286522,144.2221644,193.23245,246.9433837,128.3183392,103
2019-12-01,271.4309898,291.8453076,203.1431678,145.0893987,192.84199,247.1175449,129.0029952,102
2020-01-01,272.544458,292.831509,203.4636238,144.6609292,193.08323,247.3014834,129.5750709,103
2020-02-01,273.2372056,293.0334968,204.9670165,145.2894651,193.32482,248.6156021,129.9370574,106
2020-03-01,273.2748778,293.4869309,204.7494162,146.0765713,194.38573,250.4437939,130.3489584,107
2020-04-01,271.472348,293.7288139,204.6079118,146.0869834,195.68122,252.1226594,130.2358001,109
2020-05-01,270.3985337,293.6077563,204.0837495,145.9143762,196.71531,252.7828887,130.085143,110
2020-06-01,270.1473253,294.5932994,204.1835725,145.0576231,198.04247,252.9119369,130.8672607,111
2020-07-01,273.2966011,298.7724326,204.7634067,146.2456236,198.78224,253.9296221,132.3896027,116
2020-08-01,278.486415,304.3773262,208.0351525,148.3413815,200.73284,256.6274011,134.0896826,113
2020-09-01,284.2417926,309.1524428,211.7598048,150.7072491,202.58647,259.5068898,135.9920196,112
2020-10-01,289.8554519,313.5124424,216.0630251,152.6214432,205.50438,263.2550345,138.0897233,111
2020-11-01,293.7821089,317.5608506,220.5939993,154.1460742,207.21477,266.5753992,140.1138994,111
2020-12-01,296.8838522,321.7620099,224.2824983,155.6310154,209.07642,269.9472762,142.0768993,113
2021-01-01,300.6759766,325.2090186,227.6431252,157.114771,210.81409,273.4244068,143.8972987,115
2021-02-01,303.3887268,328.4835871,230.3261878,157.9013192,214.3741,276.2889272,145.3212798,118
2021-03-01,306.2657375,332.58688,232.3994142,159.2882471,220.39817,281.5242918,146.3541776,118
2021-04-01,311.590327,336.3713307,234.8201651,160.6558051,226.77797,288.1840313,147.9198806,118
2021-05-01,318.751211,342.7119621,237.5957855,162.1328967,233.07644,294.9262201,149.9281503,123
2021-06-01,328.6737966,349.1162633,240.2599659,163.6173329,240.14109,303.9514941,151.865553,121
2021-07-01,332.6820207,355.2949144,242.4260177,165.0788186,245.82838,310.925003,153.6636837,121
2021-08-01,337.6073154,360.4850126,244.5877996,166.7160867,250.22249,318.0571202,155.1517402,115
2021-09-01,340.6980646,365.9894146,246.6120442,168.2762054,253.25505,324.8687319,156.5238884,114
2021-10-01,344.0076524,372.2437887,248.678861,169.8956762,256.09389,331.0631567,157.857342,114
2021-11-01,348.0375598,378.4801461,251.1885929,171.932549,259.12847,337.5942243,159.3577313,116
2021-12-01,353.7453464,383.8799513,254.4831047,174.4963289,263.43561,343.8958046,161.5244631,114
2022-01-01,364.3012656,390.323803,257.4526624,176.4341074,268.38278,350.3482268,163.5408725,114
2022-02-01,372.8072882,401.0768898,261.6160955,178.8722739,276.18609,358.4719363,165.5294438,118
2022-03-01,379.4039537,409.4013771,265.2494486,179.8473655,288.05593,371.4962199,168.6368993,120
2022-04-01,381.663706,414.3666192,269.401034,181.4597838,297.18258,383.9445761,170.267839,121
2022-05-01,384.0176573,417.6656215,272.6702769,183.0561398,304.72834,394.9349061,171.5223796,119
2022-06-01,380.8241848,415.7617296,276.0974167,184.9015598,307.81485,404.1475957,171.3161278,121
2022-07-01,367.9162193,410.4177587,276.0926811,185.7779066,306.51521,409.4029114,170.8740842,122
2022-08-01,356.2402828,403.7140942,275.8725858,185.4576862,300.66041,408.7953832,170.0711623,123
2022-09-01,348.6278464,398.5502127,274.4735125,185.0119501,294.46612,404.6579737,169.0023882,123
2022-10-01,346.3511594,397.5374851,273.7644132,184.9137599,290.71679,400.4611766,168.842482,126
2022-11-01,343.0665716,395.851975,273.7190819,185.3699024,287.51556,399.6010795,169.2033081,123
2022-12-01,339.3864821,394.5587059,273.4804356,184.7795398,284.37539,398.378415,168.8690503,125
2023-01-01,336.4981911,394.516772,273.6633708,185.1546088,281.71605,399.0198225,168.9456306,127
2023-02-01,335.1517562,395.9416728,273.7328352,185.6360457,281.69311,397.4874897,168.3466564,133
2023-03-01,336.303219,397.1315709,276.0885244,187.5021121,284.71406,400.3465914,170.6347409,145
2023-04-01,338.4429607,400.4494908,278.4204207,188.9167456,288.65739,403.74893,172.0902642,141
2023-05-01,341.1816241,404.3438103,282.0702508,191.2337682,293.17818,408.5756633,174.6378169,151
2023-06-01,343.5483259,407.4477598,285.440847,192.4899235,295.24006,414.0823393,175.102619,151
2023-07-01,344.6633424,411.4468703,287.493041,193.9431353,296.12747,417.043901,176.256053,159
2023-08-01,347.2910854,416.4297701,290.2265491,194.668862,295.62025,422.1496527,178.0577898,159
2023-09-01,350.6067397,419.2329903,292.8042024,195.959325,295.22862,424.7109439,180.3248133,156
2023-10-01,352.4788528,422.4157886,294.4895119,197.4207237,294.26534,427.1029676,182.4948849,150
2023-11-01,351.0093319,424.8849673,295.4828706,198.2518242,292.39385,428.1609512,182.7385242,145
2023-12-01,350.771316,427.7249622,296.2182285,199.5846512,290.47739,429.3068129,182.8935738,146
2024-01-01,351.7566081,428.3358666,296.4740939,199.960932,289.93558,428.6691697,182.9657304,151
2024-02-01,352.6118963,430.5320486,299.4743365,202.3169827,291.60935,429.1615383,183.3242347,160
2024-03-01,352.8526727,432.5621177,302.2352147,203.8358678,295.10986,433.2299311,183.8029317,170
2024-04-01,353.9273035,434.5606938,304.6124294,205.3641651,298.56429,436.8604792,184.4466844,169
2024-05-01,353.9273035,434.5606938,304.6124294,205.3641651,298.56429,436.8604792,184.4466844,169
2024-06-01,353.9273035,434.5606938,304.6124294,205.3641651,298.56429,436.8604792,184.4466844,169